,g,pattern,membership
532,MED18,8,0.7735724899007165
533,MED29,5,0.5561485264214606
534,MED30,5,0.4624045100254544
535,MED31,8,0.959403192317039
536,MICALCL,10,0.8626574319884611
537,MICALL2,7,0.9155391431527521
538,MICU2,3,0.7832868094381441
539,MIDN,5,0.8825005302021497
540,MIF4GD,7,0.9482282808486138
541,MPND,12,0.7389286607388339
543,MRGPRX3,0,0.9970433903846415
544,MRPL13,14,0.9930143980309654
545,MRPL19,13,0.9880364077489406
546,MRPL2,7,0.6076242634369713
547,MRPL30,11,0.9945844457136374
548,MRPL36,7,0.8015009203889124
549,MRPS35,7,0.8679801505049355
550,MRPS5,4,0.8647779931237082
551,MSH2,14,0.8389446303821472
552,MTFR1,11,0.9903730810445627
553,MTHFR,0,0.6307096342434783
554,"MTHFS,ST20-MTHFS",8,0.5540619069396484
555,MTMR2,14,0.5328027574860265
556,MUTYH,8,0.6089562734260847
557,MXD1,8,0.6247871040464347
558,MYBBP1A,0,0.5724357338511847
559,MYNN,14,0.9977457270173965
560,NAA40,8,0.756905900059573
561,NDUFAF1,8,0.4936168254764841
562,NDUFAF7,0,0.8678225173410954
564,NKX1-1,0,0.483845335045246
565,NOL11,2,0.8057041848412655
566,"NPY4R,NPY4R2",14,0.9998029008410956
567,NSUN3,8,0.9146186311082222
568,NTNG1,11,0.5516956185742216
569,NXF1,11,0.9881923474180812
570,OBSCN,13,0.7308377615765448
571,OR5W2,0,0.9978247878324279
572,OTUD5,4,0.833429112972635
573,PARP2,12,0.9460529198372178
574,PBRM1,5,0.9259025026375661
575,PER1,13,0.6647124426555848
576,PIAS4,0,0.9779809379456257
577,PIGG,14,0.9979055153075265
578,PKMYT1,11,0.9018524477811095
579,PLEKHA7,14,0.9996740548495079
581,PLP2,7,0.9821761602879303
582,PMAIP1,11,0.9550268159762937
583,PNO1,8,0.9440801867749608
584,POLR3C,14,0.8759001023050708
586,POLRMT,7,0.7007401434230721
587,PPP1R2,13,0.8574428149131486
588,PPP6R3,14,0.9981530851669055
589,PRDM5,13,0.5433714949624107
590,PREB,7,0.9055780387682252
591,PRG3,0,0.9953535850156059
592,PRR14,5,0.932627368043014
593,PRR19,0,0.8865457313755033
594,PSMA2,7,0.9555479578692899
595,PSPH,10,0.6599971504129535
596,PTCD2,14,0.7796452077297782
597,PTPN12,13,0.9977158289295807
