Sample_ID	DSP_Sample_ID	Plate	dsp_plate	roi	segment_type	segment	aoi	roi_dimension	nuclei	RawReads	TrimmedReads	StitchedReads	AlignedReads	DeduplicatedReads	SequencingSaturation	UID	NegGeoMean_01	NegGeoSD_01	GeoLOD2.5_01	NormFactorNeg_01	NormFactorQ3	NormFactorHK
HCA_F_BRA8739275	DSP1001660005647_C01	DSP1001660005647	1.00166E+12	17	exclusion_sub4	ROI17_exclusion sub4	ROI17_exclusion sub4-aoi-001	24682.86807	537	3505569	3434668	2810801	1853039	780448	57.88280765	HCA_F_BRA8739275	13.74633885	1.746042493	55.3763169	0.599314442	0.689398438	0.717834991
HCA_F_BRA8739147	DSP1001660005640_C09	DSP1001660005640	1.00166E+12	29	center	Scan 00MR ROIs - ROI 029 centre	Scan 00MR ROIs - ROI 029 centre-aoi-001	32566.03533	572	3700525	3697594	3588830	2049801	823916	59.80507376	HCA_F_BRA8739147	12.16963263	1.50485731	33.80771147	0.530573025	0.706213034	0.871592716
HCA_F_BRA8739350	DSP1001660005648_A07	DSP1001660005648	1.00166E+12	2	exclusion_sub4	ROI2_exclusion sub4	ROI2_exclusion sub4-aoi-001	693.0152846	20	3756056	3270772	97802	34899	20153	42.2533597	HCA_F_BRA8739350	1	1	1	0.043598114	0.016814596	0.011051815
HCA_F_BRA8739348	DSP1001660005647_D10	DSP1001660005647	1.00166E+12	23	exclusion_sub4	ROI23_exclusion sub4	ROI23_exclusion sub4-aoi-001	23486.27221	587	3755703	3260312	3116631	2015136	808873	59.86012855	HCA_F_BRA8739348	12.89055509	1.638485032	44.297357	0.562003884	0.706213034	0.827213674
HCA_F_BRA8739188	DSP1001660005641_D02	DSP1001660005641	1.00166E+12	34	exclusion_sub2	ROI34_exclusion sub2	ROI34_exclusion sub2-aoi-001	7549.288596	260	3804850	3802612	3693228	1629888	705401	56.72089125	HCA_F_BRA8739188	10.3231471	1.613698963	34.14824716	0.450069739	0.487623286	0.526598228
HCA_F_BRA8739135	DSP1001660005648_B07	DSP1001660005648	1.00166E+12	5	exclusion_sub4	ROI5_exclusion sub4	ROI5_exclusion sub4-aoi-001	16553.90929	305	3880554	3875971	3762871	1928866	890086	53.8544409	HCA_F_BRA8739135	12.98943998	1.509819678	36.38338744	0.566315079	0.63895465	0.695830513
HCA_F_BRA8739340	DSP1001660005647_D09	DSP1001660005647	1.00166E+12	23	exclusion_sub2	ROI23_exclusion sub2	ROI23_exclusion sub2-aoi-001	15989.7096	465	3948560	3814910	2342348	1446613	606710	58.0599649	HCA_F_BRA8739340	10.51997998	1.769866002	43.83952905	0.458651281	0.521252478	0.543496673
HCA_F_BRA8739160	DSP1001660005648_C10	DSP1001660005648	1.00166E+12	9	exclusion_sub2	ROI9_exclusion sub2	ROI9_exclusion sub2-aoi-001	13527.84779	328	4064283	4062002	3946707	1939756	840412	56.67434461	HCA_F_BRA8739160	12.09550714	1.604103219	39.41893244	0.527341294	0.55488167	0.679183725
HCA_F_BRA8739222	DSP1001660005641_F06	DSP1001660005641	1.00166E+12	41	exclusion_sub2	ROI41_exclusion sub2	ROI41_exclusion sub2-aoi-001	10578.6652	246	4042501	4040669	3925461	1859351	735058	60.46695863	HCA_F_BRA8739222	11.09195089	1.630319911	37.64350203	0.483588134	0.504437882	0.502570626
HCA_F_BRA8739321	DSP1001660005647_A07	DSP1001660005647	1.00166E+12	3	geometric	Geometric Segment	Geometric Segment-aoi-001	30202.67956	411	4135369	3589986	3442189	2075452	568029	72.63107024	HCA_F_BRA8739321	8.339888229	1.753619885	33.96243997	0.363603394	0.487623286	0.595111169
