"","x"
"614","AMZ2"
"615","ANAPC1"
"616","ANAPC10"
"617","ANAPC11"
"618","ANAPC13"
"619","ANAPC15"
"620","ANAPC2"
"621","ANAPC4"
"622","ANAPC5"
"623","ANAPC7"
"624","ANG"
"625","ANGEL1"
"626","ANGEL2"
"627","ANGPT1"
"628","ANGPT2"
"629","ANGPT4"
"630","ANGPTL1"
"631","ANGPTL2"
"632","ANGPTL3"
"633","ANGPTL4"
"634","ANGPTL5"
"635","ANGPTL6"
"636","ANGPTL7"
"637","ANGPTL8"
"638","ANHX"
"639","ANK1"
"640","ANK2"
"641","ANK3"
"642","ANKAR"
"643","ANKDD1A"
"644","ANKDD1B"
"645","ANKEF1"
"646","ANKFN1"
"647","ANKFY1"
"648","ANKH"
"649","ANKHD1-EIF4EBP3,ANKHD1"
"650","ANKIB1"
"651","ANKK1"
"652","ANKLE1"
"653","ANKLE2"
"654","ANKMY1"
"655","ANKMY2"
"656","ANKRA2"
"657","ANKRD1"
"658","ANKRD10"
"659","ANKRD11"
"660","ANKRD12"
"661","ANKRD13A"
"662","ANKRD13B"
"663","ANKRD13C"
"664","ANKRD13D"
"665","ANKRD16"
"666","ANKRD17"
"667","ANKRD18A"
"668","ANKRD18B"
"669","ANKRD19P,EEF1D"
"670","ANKRD2"
"671","ANKRD20A9P,ANKRD20A2,ANKRD20A4-ANKRD20A20P,ANKRD20A4,ANKRD20A11P,ANKRD20A3,ANKRD20A1,ANKRD20A8P,LOC105379417,LOC105379426"
"672","ANKRD22"
"673","ANKRD23"
"674","ANKRD24"
"675","ANKRD26"
"676","ANKRD27"
"677","ANKRD28"
"678","ANKRD29"
"679","ANKRD30A"
"680","ANKRD30B"
"681","ANKRD31"
"682","ANKRD33"
"683","ANKRD33B"
"684","ANKRD34A"
"685","ANKRD34B"
"686","ANKRD34C"
"687","ANKRD35"
"688","ANKRD36B,ANKRD36BP2,ANKRD36C,ANKRD36"
"689","ANKRD39"
"690","ANKRD40"
"691","ANKRD40CL"
"692","ANKRD42"
"693","ANKRD44"
"694","ANKRD45"
"695","ANKRD46"
"696","ANKRD49"
"697","ANKRD50"
"698","ANKRD52"
"699","ANKRD53,TEX261"
"700","ANKRD54"
"701","ANKRD55"
"702","ANKRD6"
"703","ANKRD60"
"704","ANKRD61"
"705","ANKRD62"
"706","ANKRD63"
"707","ANKRD65"
"708","ANKRD7"
