Sample_ID	Raw	Trimmed	Stitched	Aligned	Unique
HCA_F_BRA8739224	32908025	32894377	31958646	15608732	6319478
HCA_F_BRA8739225	35021570	35005415	33997559	16011578	6491954
HCA_F_BRA8739226	26016425	26004357	25245821	10601114	3577489
HCA_F_BRA8739227	58260821	58233536	56543527	26891405	12965721
HCA_F_BRA8739228	9024862	9020330	8762125	4094515	1631930
HCA_F_BRA8739230	5808306	5805347	5638877	2736477	1030114
HCA_F_BRA8739231	36701799	36684408	35629833	14927887	5306043
HCA_F_BRA8739232	55728071	55702899	54099697	27097103	12604558
HCA_F_BRA8739233	34914641	34897816	33924288	16684339	6407267
HCA_F_BRA8739234	27633061	27619791	26827731	11505652	4221740
HCA_F_BRA8739235	4915068	4910571	4771841	2208805	1912848
HCA_F_BRA8739236	17402533	17394548	16892706	7675241	3525929
HCA_F_BRA8739237	18201568	18194018	17677735	8001308	3411526
HCA_F_BRA8739238	11618363	11613542	11284283	5340424	2213701
HCA_F_BRA8739239	45674215	45654789	44356880	18883776	7349655
HCA_F_BRA8739240	52695556	52672033	51127459	26000388	12238569
HCA_F_BRA8739241	39300076	39282676	38161763	17824969	7023243
HCA_F_BRA8739242	21572813	21562076	20948789	9102625	3083380
HCA_F_BRA8739243	43886508	43866721	42601803	20301223	7369042
HCA_F_BRA8739244	33755988	33713988	32709338	14638666	5392653
HCA_F_BRA8739245	45473731	45455249	44177061	19985818	7435634
HCA_F_BRA8739246	22718357	22708126	22063978	10476583	4041986
HCA_F_BRA8739247	37702139	37685158	36606560	16864228	6112038
HCA_F_BRA8739248	46568340	46544620	45180395	23425365	10737111
HCA_F_BRA8739249	38689444	38670440	37559007	17372484	6312767
HCA_F_BRA8739250	32795577	32780087	31843446	13773210	4640241
HCA_F_BRA8739251	5205818	5202687	5050450	2148220	945875
HCA_F_BRA8739253	6100176	6097163	5923215	2864814	1163750
HCA_F_BRA8739254	2775727	2774383	2694172	1207547	446455
HCA_F_BRA8739255	33183678	33169039	32229124	15589467	5496994
HCA_F_BRA8739256	9057694	9052693	8787080	4131272	1560665
HCA_F_BRA8739257	16670767	16662951	16196598	7800822	2635451
HCA_F_BRA8739258	35558175	35541521	34512529	14685440	5034867
HCA_F_BRA8739260	6304008	6301057	6121477	2877487	1095584
HCA_F_BRA8739261	8440200	8435620	8193649	4208024	1707550
HCA_F_BRA8739262	2634002	2632649	2556034	1177007	453942
HCA_F_BRA8739263	39738781	39721634	38586999	18624201	7511019
HCA_F_BRA8739264	1448219	1447291	1403677	670597	215997
HCA_F_BRA8739265	14032560	14025251	13635098	7054516	2259415
